STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHE,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.20752677321434,A,Annual,Switzerland,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHL,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.16947716474533,A,Annual,Chile,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.14834882318974,A,Annual,China,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CIV,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.099610410630703,A,Annual,Côte d’Ivoire,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CMR,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.07790245115757,A,Annual,Cameroon,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COD,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.0625,A,Annual,"Congo, Dem. Rep.",AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COG,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.052801690995693,A,Annual,"Congo, Rep.",AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.13780850172043,A,Annual,Colombia,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COM,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.040464915335178,A,Annual,Comoros,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CPV,IMF_AI_REG_ETH,_Z,_Z,_Z,0_TO_0_25,_Z,_Z,_Z,2023,MEAN,IX,IMF_AI,602,0,IMF_AI,PU,0.11971309781075,A,Annual,Cabo Verde,AIPI - Regulation and Ethics,Not applicable,Not applicable,Not applicable,0-0.25 scale,Not Applicable,Not Applicable,Not Applicable,Mean,Index,Artificial Intelligence (AI) Preparedness Index,CCYY,Units,Normal value,Public
